id,station,date,method_1_hours,method_2_hours
269,Dickinson (ID: 149),2024-11-24,0,0
270,Dickinson (ID: 149),2024-11-23,0,0
271,Dickinson (ID: 149),2024-11-22,0,0
272,Dickinson (ID: 149),2024-11-21,3,3
273,Dickinson (ID: 149),2024-11-20,0,0
274,Dickinson (ID: 149),2024-11-19,0,0
275,Dickinson (ID: 149),2024-11-18,0,0
276,Dickinson (ID: 149),2024-11-17,0,0
277,Dickinson (ID: 149),2024-11-16,0,0
278,Dickinson (ID: 149),2024-11-15,0,0
279,Dickinson (ID: 149),2024-11-14,0,0
280,Driscoll (ID: 324),2024-11-27,0,0
281,Driscoll (ID: 324),2024-11-26,0,0
282,Driscoll (ID: 324),2024-11-25,0,0
283,Driscoll (ID: 324),2024-11-24,0,0
284,Driscoll (ID: 324),2024-11-23,0,0
285,Driscoll (ID: 324),2024-11-22,0,0
286,Driscoll (ID: 324),2024-11-21,6,6
287,Driscoll (ID: 324),2024-11-20,0,0
288,Driscoll (ID: 324),2024-11-19,0,0
289,Driscoll (ID: 324),2024-11-18,0,0
290,Driscoll (ID: 324),2024-11-17,0,0
291,Driscoll (ID: 324),2024-11-16,0,0
292,Driscoll (ID: 324),2024-11-15,0,0
293,Driscoll (ID: 324),2024-11-14,0,0
294,Freer (ID: 319),2024-11-26,0,0
295,Freer (ID: 319),2024-11-25,0,0
296,Freer (ID: 319),2024-11-24,0,0
297,Freer (ID: 319),2024-11-23,0,0
298,Freer (ID: 319),2024-11-22,0,0
299,Freer (ID: 319),2024-11-21,0,0
300,Freer (ID: 319),2024-11-20,0,0
301,Freer (ID: 319),2024-11-19,0,0
302,Freer (ID: 319),2024-11-18,0,0
303,Freer (ID: 319),2024-11-17,0,0
304,Freer (ID: 319),2024-11-16,0,0
305,Freer (ID: 319),2024-11-15,0,0
306,Freer (ID: 319),2024-11-14,0,0
307,Garwood (ID: 193),2024-11-26,0,0
308,Garwood (ID: 193),2024-11-25,0,0
309,Garwood (ID: 193),2024-11-24,0,0
310,Garwood (ID: 193),2024-11-23,5,5
311,Garwood (ID: 193),2024-11-22,6,6
312,Garwood (ID: 193),2024-11-21,8,8
313,Garwood (ID: 193),2024-11-20,2,2
314,Garwood (ID: 193),2024-11-19,0,0
315,Garwood (ID: 193),2024-11-18,0,0
316,Garwood (ID: 193),2024-11-17,0,0
317,Garwood (ID: 193),2024-11-16,0,0
318,Garwood (ID: 193),2024-11-15,2,2
319,Garwood (ID: 193),2024-11-14,0,0
320,Goliad (ID: 198),2024-11-26,0,0
321,Goliad (ID: 198),2024-11-25,5,5
322,Goliad (ID: 198),2024-11-24,0,0
323,Goliad (ID: 198),2024-11-23,8,8
324,Goliad (ID: 198),2024-11-22,8,8
325,Goliad (ID: 198),2024-11-21,10,10
326,Goliad (ID: 198),2024-11-20,1,1
327,Goliad (ID: 198),2024-11-19,0,0
328,Goliad (ID: 198),2024-11-18,0,0
329,Goliad (ID: 198),2024-11-17,0,0
330,Goliad (ID: 198),2024-11-16,0,0
331,Goliad (ID: 198),2024-11-15,8,8
332,Goliad (ID: 198),2024-11-14,0,0
333,Houston (ID: 150),2024-11-27,0,0
334,Houston (ID: 150),2024-11-26,0,0
335,Houston (ID: 150),2024-11-25,0,0
336,Houston (ID: 150),2024-11-24,0,0
337,Houston (ID: 150),2024-11-23,2,2
338,Houston (ID: 150),2024-11-22,7,7
339,Houston (ID: 150),2024-11-21,7,7
340,Houston (ID: 150),2024-11-20,0,0
341,Houston (ID: 150),2024-11-19,0,0
342,Houston (ID: 150),2024-11-18,0,0
343,Houston (ID: 150),2024-11-17,0,0
344,Houston (ID: 150),2024-11-16,0,0
345,Houston (ID: 150),2024-11-15,0,0
346,Houston (ID: 150),2024-11-14,0,0
347,Houston North (ID: 326),2024-11-27,0,0
348,Houston North (ID: 326),2024-11-26,0,0
349,Houston North (ID: 326),2024-11-25,0,0
350,Houston North (ID: 326),2024-11-24,0,0
351,Houston North (ID: 326),2024-11-23,3,3
352,Houston North (ID: 326),2024-11-22,8,8
353,Houston North (ID: 326),2024-11-21,7,7
354,Houston North (ID: 326),2024-11-20,0,0
355,Houston North (ID: 326),2024-11-19,0,0
356,Houston North (ID: 326),2024-11-18,0,0
357,Houston North (ID: 326),2024-11-17,0,0
358,Houston North (ID: 326),2024-11-16,0,0
359,Houston North (ID: 326),2024-11-15,0,0
360,Houston North (ID: 326),2024-11-14,0,0
361,Kingsville (ID: 201),2024-11-26,0,0
362,Kingsville (ID: 201),2024-11-25,0,0
363,Kingsville (ID: 201),2024-11-24,0,0
364,Kingsville (ID: 201),2024-11-23,0,0
365,Kingsville (ID: 201),2024-11-22,4,4
366,Kingsville (ID: 201),2024-11-21,7,7
367,Kingsville (ID: 201),2024-11-20,0,0
368,Kingsville (ID: 201),2024-11-19,0,0
369,Kingsville (ID: 201),2024-11-18,0,0
370,Kingsville (ID: 201),2024-11-17,0,0
371,Kingsville (ID: 201),2024-11-16,0,0
372,Kingsville (ID: 201),2024-11-15,0,0
373,Kingsville (ID: 201),2024-11-14,0,0
374,Memorial Village (ID: 160),2024-11-27,0,0
375,Memorial Village (ID: 160),2024-11-26,0,0
376,Memorial Village (ID: 160),2024-11-25,0,0
377,Memorial Village (ID: 160),2024-11-24,0,0
378,Memorial Village (ID: 160),2024-11-23,0,0
379,Memorial Village (ID: 160),2024-11-22,0,0
380,Memorial Village (ID: 160),2024-11-21,6,6
381,Memorial Village (ID: 160),2024-11-20,0,0
382,Memorial Village (ID: 160),2024-11-19,0,0
383,Memorial Village (ID: 160),2024-11-18,0,0
384,Memorial Village (ID: 160),2024-11-17,0,0
385,Memorial Village (ID: 160),2024-11-16,0,0
386,Memorial Village (ID: 160),2024-11-15,0,0
387,Memorial Village (ID: 160),2024-11-14,0,0
388,Refugio (ID: 188),2024-11-26,0,0
389,Refugio (ID: 188),2024-11-25,8,8
390,Refugio (ID: 188),2024-11-24,6,6
391,Refugio (ID: 188),2024-11-23,10,10
392,Refugio (ID: 188),2024-11-22,10,10
393,Refugio (ID: 188),2024-11-21,11,11
394,Refugio (ID: 188),2024-11-20,3,3
395,Refugio (ID: 188),2024-11-19,0,0
396,Refugio (ID: 188),2024-11-18,0,0
397,Refugio (ID: 188),2024-11-17,9,9
398,Refugio (ID: 188),2024-11-15,8,8
399,Refugio (ID: 188),2024-11-14,0,0
400,Richmond North (ID: 161),2024-11-27,0,0
401,Richmond North (ID: 161),2024-11-26,0,0
402,Richmond North (ID: 161),2024-11-25,0,0
403,Richmond North (ID: 161),2024-11-24,0,0
404,Richmond North (ID: 161),2024-11-23,5,5
405,Richmond North (ID: 161),2024-11-22,9,9
406,Richmond North (ID: 161),2024-11-21,7,7
407,Richmond North (ID: 161),2024-11-20,0,0
408,Richmond North (ID: 161),2024-11-19,0,0
409,Richmond North (ID: 161),2024-11-18,0,0
410,Richmond North (ID: 161),2024-11-17,0,0
411,Richmond North (ID: 161),2024-11-16,0,0
412,Richmond North (ID: 161),2024-11-15,0,0
413,Richmond North (ID: 161),2024-11-14,0,0
414,Richmond South (ID: 151),2024-11-27,0,0
415,Richmond South (ID: 151),2024-11-26,0,0
416,Richmond South (ID: 151),2024-11-25,0,0
417,Richmond South (ID: 151),2024-11-24,0,0
418,Richmond South (ID: 151),2024-11-23,0,0
419,Richmond South (ID: 151),2024-11-22,1,1
420,Richmond South (ID: 151),2024-11-21,6,6
421,Richmond South (ID: 151),2024-11-20,0,0
422,Richmond South (ID: 151),2024-11-19,0,0
423,Richmond South (ID: 151),2024-11-18,0,0
424,Richmond South (ID: 151),2024-11-17,0,0
425,Richmond South (ID: 151),2024-11-16,0,0
426,Richmond South (ID: 151),2024-11-15,0,0
427,Richmond South (ID: 151),2024-11-14,0,0
428,Spring (ID: 152),2024-11-27,0,0
429,Spring (ID: 152),2024-11-26,0,0
430,Spring (ID: 152),2024-11-25,0,0
431,Spring (ID: 152),2024-11-24,0,0
432,Spring (ID: 152),2024-11-23,1,1
433,Spring (ID: 152),2024-11-22,2,2
434,Spring (ID: 152),2024-11-21,7,7
435,Spring (ID: 152),2024-11-20,0,0
436,Spring (ID: 152),2024-11-19,0,0
437,Spring (ID: 152),2024-11-18,0,0
438,Spring (ID: 152),2024-11-17,0,0
439,Spring (ID: 152),2024-11-16,0,0
440,Spring (ID: 152),2024-11-15,0,0
441,Spring (ID: 152),2024-11-14,0,0
442,Victoria County West (ID: 316),2024-11-26,0,0
443,Victoria County West (ID: 316),2024-11-25,0,0
444,Victoria County West (ID: 316),2024-11-24,0,0
445,Victoria County West (ID: 316),2024-11-23,2,2
446,Victoria County West (ID: 316),2024-11-22,4,4
447,Victoria County West (ID: 316),2024-11-21,9,9
448,Victoria County West (ID: 316),2024-11-20,0,0
449,Victoria County West (ID: 316),2024-11-19,0,0
450,Victoria County West (ID: 316),2024-11-18,0,0
451,Victoria County West (ID: 316),2024-11-17,0,0
452,Victoria County West (ID: 316),2024-11-16,0,0
453,Victoria County West (ID: 316),2024-11-15,4,4
454,Victoria County West (ID: 316),2024-11-14,0,0
455,Corpus Christi Agrilife (ID: 322),2024-11-28,0,0
456,Dickinson (ID: 149),2024-11-28,0,0
457,Driscoll (ID: 324),2024-11-28,0,0
458,Houston (ID: 150),2024-11-28,0,0
459,Houston North (ID: 326),2024-11-28,0,0
460,Memorial Village (ID: 160),2024-11-28,0,0
461,Richmond North (ID: 161),2024-11-28,0,0
462,Richmond South (ID: 151),2024-11-28,0,0
463,Spring (ID: 152),2024-11-28,0,0
464,Corpus Christi Agrilife (ID: 322),2024-11-29,0,0
465,Corpus Christi North (ID: 327),2024-11-28,0,0
466,Corpus Christi North (ID: 327),2024-11-27,0,0
467,Dickinson (ID: 149),2024-11-29,0,0
468,Driscoll (ID: 324),2024-11-29,0,0
469,Houston (ID: 150),2024-11-29,0,0
470,Houston North (ID: 326),2024-11-29,0,0
471,Memorial Village (ID: 160),2024-11-29,0,0
472,Richmond North (ID: 161),2024-11-29,1,1
473,Richmond South (ID: 151),2024-11-29,0,0
474,Spring (ID: 152),2024-11-29,3,3
475,Corpus Christi Agrilife (ID: 322),2024-11-30,0,0
476,Dickinson (ID: 149),2024-11-30,0,0
477,Houston (ID: 150),2024-11-30,7,7
478,Houston North (ID: 326),2024-11-30,9,9
479,Memorial Village (ID: 160),2024-11-30,6,6
480,Richmond North (ID: 161),2024-11-30,8,8
481,Richmond South (ID: 151),2024-11-30,4,4
482,Spring (ID: 152),2024-11-30,9,9
483,Corpus Christi Agrilife (ID: 322),2024-12-08,0,0
484,Corpus Christi Agrilife (ID: 322),2024-12-07,0,0
485,Corpus Christi Agrilife (ID: 322),2024-12-06,0,0
486,Corpus Christi Agrilife (ID: 322),2024-12-05,0,0
487,Corpus Christi Agrilife (ID: 322),2024-12-04,0,0
488,Corpus Christi Agrilife (ID: 322),2024-12-03,0,0
489,Corpus Christi Agrilife (ID: 322),2024-12-02,0,0
490,Corpus Christi Agrilife (ID: 322),2024-12-01,0,0
491,Corpus Christi South (ID: 328),2024-11-30,0,0
492,Corpus Christi South (ID: 328),2024-11-29,0,0
493,Corpus Christi South (ID: 328),2024-11-28,0,0
494,Corpus Christi South (ID: 328),2024-11-27,0,0
495,Corpus Christi South (ID: 328),2024-11-26,0,0
496,Corpus Christi South (ID: 328),2024-11-25,0,0
497,Dickinson (ID: 149),2024-12-08,0,0
498,Dickinson (ID: 149),2024-12-07,0,0
499,Dickinson (ID: 149),2024-12-06,3,3
500,Dickinson (ID: 149),2024-12-05,0,0
501,Dickinson (ID: 149),2024-12-04,0,0
502,Dickinson (ID: 149),2024-12-03,0,0
503,Dickinson (ID: 149),2024-12-02,0,0
504,Dickinson (ID: 149),2024-12-01,0,0
505,Driscoll (ID: 324),2024-12-03,0,0
506,Driscoll (ID: 324),2024-12-01,0,0
507,Driscoll (ID: 324),2024-11-30,0,0
508,Freer (ID: 319),2024-12-08,0,0
509,Freer (ID: 319),2024-12-07,3,3
510,Freer (ID: 319),2024-12-06,0,0
511,Freer (ID: 319),2024-12-05,0,0
512,Freer (ID: 319),2024-12-04,0,0
513,Freer (ID: 319),2024-12-03,0,0
514,Freer (ID: 319),2024-12-02,0,0
515,Freer (ID: 319),2024-12-01,0,0
516,Garwood (ID: 193),2024-12-06,0,0
517,Garwood (ID: 193),2024-12-03,2,2
518,Garwood (ID: 193),2024-12-02,5,5
519,Garwood (ID: 193),2024-12-01,0,0
520,Goliad (ID: 198),2024-12-08,24,24
521,Goliad (ID: 198),2024-12-07,2,2
522,Goliad (ID: 198),2024-12-06,0,0
523,Goliad (ID: 198),2024-12-05,0,0
524,Goliad (ID: 198),2024-12-04,0,0
525,Goliad (ID: 198),2024-12-03,0,0
526,Goliad (ID: 198),2024-12-02,0,0
527,Goliad (ID: 198),2024-12-01,0,0
528,Houston (ID: 150),2024-12-08,0,0
529,Houston (ID: 150),2024-12-07,0,0
530,Houston (ID: 150),2024-12-06,3,3
531,Houston (ID: 150),2024-12-05,0,0
532,Houston (ID: 150),2024-12-04,0,0
533,Houston (ID: 150),2024-12-03,4,4
534,Houston (ID: 150),2024-12-02,8,8
535,Houston (ID: 150),2024-12-01,0,0
536,Houston North (ID: 326),2024-12-06,5,5
537,Houston North (ID: 326),2024-12-05,0,0
538,Houston North (ID: 326),2024-12-04,0,0
539,Houston North (ID: 326),2024-12-03,9,9
540,Houston North (ID: 326),2024-12-02,7,7
541,Houston North (ID: 326),2024-12-01,0,0
542,Memorial Village (ID: 160),2024-12-08,0,0
543,Memorial Village (ID: 160),2024-12-07,2,2
544,Memorial Village (ID: 160),2024-12-06,2,2
545,Memorial Village (ID: 160),2024-12-05,0,0
546,Memorial Village (ID: 160),2024-12-04,0,0
547,Memorial Village (ID: 160),2024-12-03,0,0
548,Memorial Village (ID: 160),2024-12-02,1,1
549,Memorial Village (ID: 160),2024-12-01,0,0
550,Refugio (ID: 188),2024-12-08,20,24
551,Refugio (ID: 188),2024-12-07,4,4
552,Refugio (ID: 188),2024-12-06,0,0
553,Refugio (ID: 188),2024-12-05,3,3
554,Refugio (ID: 188),2024-12-04,10,10
555,Refugio (ID: 188),2024-12-03,0,0
556,Refugio (ID: 188),2024-12-02,0,0
557,Refugio (ID: 188),2024-12-01,0,0
558,Richmond North (ID: 161),2024-12-08,0,0
559,Richmond North (ID: 161),2024-12-07,0,0
560,Richmond North (ID: 161),2024-12-06,2,2
561,Richmond North (ID: 161),2024-12-05,0,0
562,Richmond North (ID: 161),2024-12-04,0,0
563,Richmond North (ID: 161),2024-12-03,4,4
564,Richmond North (ID: 161),2024-12-02,7,7
565,Richmond North (ID: 161),2024-12-01,0,0
566,Richmond South (ID: 151),2024-12-08,0,0
567,Richmond South (ID: 151),2024-12-07,0,0
568,Richmond South (ID: 151),2024-12-06,0,0
569,Richmond South (ID: 151),2024-12-05,0,0
570,Richmond South (ID: 151),2024-12-04,0,0
571,Richmond South (ID: 151),2024-12-03,2,2
572,Richmond South (ID: 151),2024-12-02,0,0
573,Richmond South (ID: 151),2024-12-01,0,0
574,Spring (ID: 152),2024-12-08,0,0
575,Spring (ID: 152),2024-12-07,4,4
576,Spring (ID: 152),2024-12-06,4,4
577,Spring (ID: 152),2024-12-05,0,0
578,Spring (ID: 152),2024-12-04,0,0
579,Spring (ID: 152),2024-12-03,8,8
580,Spring (ID: 152),2024-12-02,5,5
581,Spring (ID: 152),2024-12-01,0,0
582,Victoria County West (ID: 316),2024-12-08,0,0
583,Victoria County West (ID: 316),2024-12-07,0,0
584,Victoria County West (ID: 316),2024-12-06,0,0
585,Victoria County West (ID: 316),2024-12-05,0,0
586,Victoria County West (ID: 316),2024-12-04,0,0
587,Victoria County West (ID: 316),2024-12-03,0,0
588,Victoria County West (ID: 316),2024-12-02,0,0
589,Victoria County West (ID: 316),2024-12-01,0,0
590,Kingsville (ID: 201),2024-12-08,0,0
591,Kingsville (ID: 201),2024-12-07,0,0
592,Kingsville (ID: 201),2024-12-06,0,0
593,Kingsville (ID: 201),2024-12-05,0,0
594,Kingsville (ID: 201),2024-12-04,1,11
595,Kingsville (ID: 201),2024-12-03,0,1
596,Kingsville (ID: 201),2024-12-02,0,0
597,Kingsville (ID: 201),2024-12-01,0,0
598,Corpus Christi Agrilife (ID: 322),2024-12-22,0,0
599,Corpus Christi Agrilife (ID: 322),2024-12-21,0,0
600,Corpus Christi Agrilife (ID: 322),2024-12-20,0,0
601,Corpus Christi Agrilife (ID: 322),2024-12-19,0,0
602,Corpus Christi Agrilife (ID: 322),2024-12-18,0,0
603,Corpus Christi Agrilife (ID: 322),2024-12-17,0,0
604,Corpus Christi Agrilife (ID: 322),2024-12-16,0,0
605,Corpus Christi Agrilife (ID: 322),2024-12-15,0,0
606,Corpus Christi Agrilife (ID: 322),2024-12-14,0,0
607,Corpus Christi Agrilife (ID: 322),2024-12-13,0,0
608,Corpus Christi Agrilife (ID: 322),2024-12-12,9,9
609,Corpus Christi Agrilife (ID: 322),2024-12-11,8,8
610,Corpus Christi Agrilife (ID: 322),2024-12-10,0,0
611,Corpus Christi Agrilife (ID: 322),2024-12-09,0,0
612,Corpus Christi North (ID: 327),2024-12-22,0,0
613,Corpus Christi North (ID: 327),2024-12-21,1,1
614,Corpus Christi North (ID: 327),2024-12-20,0,0
615,Corpus Christi North (ID: 327),2024-12-19,0,0
616,Corpus Christi North (ID: 327),2024-12-18,0,0
617,Corpus Christi North (ID: 327),2024-12-17,0,0
618,Corpus Christi North (ID: 327),2024-12-16,0,0
619,Corpus Christi North (ID: 327),2024-12-13,0,0
620,Corpus Christi North (ID: 327),2024-12-12,11,11
621,Corpus Christi North (ID: 327),2024-12-10,0,0
622,Corpus Christi South (ID: 328),2024-12-22,0,0
623,Corpus Christi South (ID: 328),2024-12-21,0,0
624,Corpus Christi South (ID: 328),2024-12-20,0,0
625,Corpus Christi South (ID: 328),2024-12-19,0,0
626,Corpus Christi South (ID: 328),2024-12-18,0,0
627,Corpus Christi South (ID: 328),2024-12-17,0,0
628,Corpus Christi South (ID: 328),2024-12-13,0,0
629,Corpus Christi South (ID: 328),2024-12-12,8,8
630,Corpus Christi South (ID: 328),2024-12-10,0,0
631,Dickinson (ID: 149),2024-12-22,0,0
632,Dickinson (ID: 149),2024-12-21,0,0
633,Dickinson (ID: 149),2024-12-20,0,0
634,Dickinson (ID: 149),2024-12-19,0,0
635,Dickinson (ID: 149),2024-12-18,0,0
636,Dickinson (ID: 149),2024-12-17,0,0
637,Dickinson (ID: 149),2024-12-16,0,0
638,Dickinson (ID: 149),2024-12-15,0,0
639,Dickinson (ID: 149),2024-12-14,0,0
640,Dickinson (ID: 149),2024-12-13,0,0
641,Dickinson (ID: 149),2024-12-12,10,10
642,Dickinson (ID: 149),2024-12-11,9,9
643,Dickinson (ID: 149),2024-12-10,0,0
644,Dickinson (ID: 149),2024-12-09,0,0
645,Driscoll (ID: 324),2024-12-22,0,0
646,Driscoll (ID: 324),2024-12-21,2,2
647,Driscoll (ID: 324),2024-12-20,0,0
648,Driscoll (ID: 324),2024-12-19,0,0
649,Driscoll (ID: 324),2024-12-18,0,0
650,Driscoll (ID: 324),2024-12-17,0,0
651,Driscoll (ID: 324),2024-12-16,0,0
652,Driscoll (ID: 324),2024-12-12,9,9
653,Driscoll (ID: 324),2024-12-11,9,9
654,Driscoll (ID: 324),2024-12-10,0,0
655,Freer (ID: 319),2024-12-19,0,0
656,Freer (ID: 319),2024-12-18,0,0
657,Freer (ID: 319),2024-12-17,0,0
658,Freer (ID: 319),2024-12-16,0,0
659,Freer (ID: 319),2024-12-15,0,0
660,Freer (ID: 319),2024-12-14,0,0
661,Freer (ID: 319),2024-12-13,0,0
662,Freer (ID: 319),2024-12-12,8,8
663,Freer (ID: 319),2024-12-11,11,11
664,Freer (ID: 319),2024-12-10,0,0
665,Freer (ID: 319),2024-12-09,0,0
666,Garwood (ID: 193),2024-12-19,2,2
667,Garwood (ID: 193),2024-12-18,0,0
668,Garwood (ID: 193),2024-12-17,0,0
669,Garwood (ID: 193),2024-12-16,0,0
670,Garwood (ID: 193),2024-12-15,0,0
671,Garwood (ID: 193),2024-12-14,0,0
672,Garwood (ID: 193),2024-12-13,0,0
673,Garwood (ID: 193),2024-12-12,9,9
674,Garwood (ID: 193),2024-12-10,1,1
675,Garwood (ID: 193),2024-12-09,0,0
676,Goliad (ID: 198),2024-12-19,1,1
677,Goliad (ID: 198),2024-12-18,1,1
678,Goliad (ID: 198),2024-12-17,5,5
679,Goliad (ID: 198),2024-12-16,4,4
680,Goliad (ID: 198),2024-12-15,0,0
681,Goliad (ID: 198),2024-12-14,2,2
682,Goliad (ID: 198),2024-12-13,0,0
683,Goliad (ID: 198),2024-12-12,7,9
684,Goliad (ID: 198),2024-12-11,13,13
685,Goliad (ID: 198),2024-12-10,8,8
686,Goliad (ID: 198),2024-12-09,14,14
687,Houston (ID: 150),2024-12-22,6,6
688,Houston (ID: 150),2024-12-21,7,7
689,Houston (ID: 150),2024-12-20,2,2
690,Houston (ID: 150),2024-12-19,0,0
691,Houston (ID: 150),2024-12-18,0,0
692,Houston (ID: 150),2024-12-17,0,0
693,Houston (ID: 150),2024-12-16,0,0
694,Houston (ID: 150),2024-12-15,0,0
695,Houston (ID: 150),2024-12-14,0,0
696,Houston (ID: 150),2024-12-13,0,0
697,Houston (ID: 150),2024-12-12,9,9
698,Houston (ID: 150),2024-12-11,13,13
699,Houston (ID: 150),2024-12-10,0,0
700,Houston (ID: 150),2024-12-09,0,0
701,Houston North (ID: 326),2024-12-22,11,11
702,Houston North (ID: 326),2024-12-21,11,11
703,Houston North (ID: 326),2024-12-20,0,0
704,Houston North (ID: 326),2024-12-19,0,0
705,Houston North (ID: 326),2024-12-18,0,0
706,Houston North (ID: 326),2024-12-17,0,0
707,Houston North (ID: 326),2024-12-16,0,0
708,Houston North (ID: 326),2024-12-15,0,0
709,Houston North (ID: 326),2024-12-14,0,0
710,Houston North (ID: 326),2024-12-13,0,0
711,Houston North (ID: 326),2024-12-12,11,11
712,Houston North (ID: 326),2024-12-11,12,12
713,Houston North (ID: 326),2024-12-10,0,0
714,Houston North (ID: 326),2024-12-09,0,0
715,Kingsville (ID: 201),2024-12-19,0,0
716,Kingsville (ID: 201),2024-12-18,0,0
717,Kingsville (ID: 201),2024-12-17,0,0
718,Kingsville (ID: 201),2024-12-16,0,0
719,Kingsville (ID: 201),2024-12-15,0,0
720,Kingsville (ID: 201),2024-12-14,0,0
721,Kingsville (ID: 201),2024-12-13,0,0
722,Kingsville (ID: 201),2024-12-12,9,9
723,Kingsville (ID: 201),2024-12-11,10,10
724,Kingsville (ID: 201),2024-12-10,3,4
725,Kingsville (ID: 201),2024-12-09,0,0
726,Memorial Village (ID: 160),2024-12-22,9,9
727,Memorial Village (ID: 160),2024-12-21,8,8
728,Memorial Village (ID: 160),2024-12-20,0,0
729,Memorial Village (ID: 160),2024-12-19,0,0
730,Memorial Village (ID: 160),2024-12-18,0,0
731,Memorial Village (ID: 160),2024-12-17,0,0
732,Memorial Village (ID: 160),2024-12-16,0,0
733,Memorial Village (ID: 160),2024-12-15,0,0
734,Memorial Village (ID: 160),2024-12-14,0,0
735,Memorial Village (ID: 160),2024-12-13,0,0
736,Memorial Village (ID: 160),2024-12-12,10,10
737,Memorial Village (ID: 160),2024-12-11,10,10
738,Memorial Village (ID: 160),2024-12-10,0,0
739,Memorial Village (ID: 160),2024-12-09,0,0
740,Refugio (ID: 188),2024-12-19,6,6
741,Refugio (ID: 188),2024-12-18,10,10
742,Refugio (ID: 188),2024-12-16,8,8
743,Refugio (ID: 188),2024-12-15,7,7
744,Refugio (ID: 188),2024-12-13,5,5
745,Refugio (ID: 188),2024-12-12,3,9
746,Refugio (ID: 188),2024-12-11,12,12
747,Refugio (ID: 188),2024-12-10,10,10
748,Refugio (ID: 188),2024-12-09,16,16
749,Richmond North (ID: 161),2024-12-22,11,11
750,Richmond North (ID: 161),2024-12-21,13,13
751,Richmond North (ID: 161),2024-12-20,3,3
752,Richmond North (ID: 161),2024-12-19,3,3
753,Richmond North (ID: 161),2024-12-18,0,0
754,Richmond North (ID: 161),2024-12-17,0,0
755,Richmond North (ID: 161),2024-12-16,0,0
756,Richmond North (ID: 161),2024-12-15,0,0
757,Richmond North (ID: 161),2024-12-14,0,0
758,Richmond North (ID: 161),2024-12-13,0,0
759,Richmond North (ID: 161),2024-12-12,7,11
760,Richmond North (ID: 161),2024-12-11,14,14
761,Richmond North (ID: 161),2024-12-10,0,0
762,Richmond North (ID: 161),2024-12-09,0,0
763,Richmond South (ID: 151),2024-12-22,9,9
764,Richmond South (ID: 151),2024-12-21,6,6
765,Richmond South (ID: 151),2024-12-20,5,5
766,Richmond South (ID: 151),2024-12-19,0,0
767,Richmond South (ID: 151),2024-12-18,0,0
768,Richmond South (ID: 151),2024-12-17,0,0
769,Richmond South (ID: 151),2024-12-16,0,0
770,Richmond South (ID: 151),2024-12-15,0,0
771,Richmond South (ID: 151),2024-12-14,0,0
772,Richmond South (ID: 151),2024-12-13,0,0
773,Richmond South (ID: 151),2024-12-12,10,10
774,Richmond South (ID: 151),2024-12-11,12,12
775,Richmond South (ID: 151),2024-12-10,0,0
776,Richmond South (ID: 151),2024-12-09,0,0
777,Spring (ID: 152),2024-12-22,9,9
778,Spring (ID: 152),2024-12-21,8,8
